,RK,PLAYER,YDS
0,1,DREW BREES,"80,358"
1,2,TOM BRADY,"79,204"
2,3,Peyton Manning,"71,940"
3,4,Brett Favre,"71,838"
4,5,Philip Rivers,"63,440"
5,6,Dan Marino,"61,361"
6,7,BEN ROETHLISBERGER,"60,348"
7,8,Eli Manning,"57,023"
8,9,MATT RYAN,"55,767"
9,10,John Elway,"51,475"
10,11,AARON RODGERS,"51,245"
11,12,Warren Moon,"49,325"
12,13,Fran Tarkenton,"47,003"
13,14,Carson Palmer,"46,247"
14,15,Vinny Testaverde,"46,233"
15,16,MATTHEW STAFFORD,"45,109"
16,17,Drew Bledsoe,"44,611"
17,18,Dan Fouts,"43,040"
18,19,JOE FLACCO,"40,931"
19,20,Kerry Collins,"40,922"
